"";"Methode";"alpha";"beta";"sigma2"
"243";"Post";0,0154678454856465;1,01590026803401;0,247724432936429
"244";"Moy";-0,000956980944087791;0,719780417041899;0,0778101201056997
"245";"Reg. Lin.";0,0178040441305224;1,02050303652159;0,0467466359310825
"246";"Reg. Lin. Sto.";0,0202228037882046;1,0245149577143;0,168165058445108
"247";"EM";-8,98489155947753e-05;1,03099550611134;0,175868287279739
"248";"Boot";0,0174616536592481;1,03333574550046;0,221405971757855
"249";"Post";-0,00290844882620417;1,02072450605517;0,289225075809808
"250";"Moy";0,0348811115425697;0,764015271624892;0,0708807755493915
"251";"Reg. Lin.";-0,000234132966071246;1,03100281786794;0,0507835748039772
"252";"Reg. Lin. Sto.";-0,00279139902726276;1,04170809278761;0,207447711207987
"253";"EM";0,0270620918789033;1,08291372992215;0,127117706511301
"254";"Boot";0,0876091802889022;1,09124142944958;0,184626321187068
"255";"Post";0,0697897800189337;1,0805031385707;0,209647142187615
"256";"Moy";0,0550817762376613;0,84034888786011;0,0659332099972627
"257";"Reg. Lin.";0,0703611581729629;1,08314294319415;0,0429089978857684
"258";"Reg. Lin. Sto.";0,0736124801483581;1,08353549829057;0,140391876203573
"259";"EM";-0,0292513812415735;1,03310731208173;0,132294283783046
"260";"Boot";-0,0998957383864022;1,05493871984938;0,172412867945377
"261";"Post";-0,0705638081346005;1,03605581938185;0,214031925858765
"262";"Moy";0,197735132604422;0,604472332945556;0,0886238614512179
"263";"Reg. Lin.";-0,0780815592246776;1,03937510417925;0,0438662603761186
"264";"Reg. Lin. Sto.";-0,077206812289156;1,04247362552923;0,147566178253845
"265";"EM";0,0013501429461266;1,07086546078323;0,106294255670907
"266";"Boot";-0,0127662964607669;1,06224894128849;0,144448894414341
"267";"Post";-0,0024442420431518;1,06615300669909;0,177830422866584
"268";"Moy";0,0486605250304301;0,682680993064157;0,073905839004917
"269";"Reg. Lin.";0,00351511203270695;1,07079321874372;0,0394356923599567
"270";"Reg. Lin. Sto.";0,00708021554086382;1,07082535855745;0,117016680022552
"271";"EM";-0,0221994517375747;1,05675885638056;0,14050071384741
"272";"Boot";-0,0450210707854287;1,07755825170048;0,177626576929802
"273";"Post";-0,0563796963176367;1,05444379069457;0,230487099491975
"274";"Moy";0,0856689355997274;0,573575838542876;0,0755670303452572
"275";"Reg. Lin.";-0,0584171981492864;1,06044357909031;0,0454170604715909
"276";"Reg. Lin. Sto.";-0,0630194951999881;1,06150013125947;0,158720152377011
"277";"EM";-0,0272266503620744;0,982799425687305;0,115748073338358
"278";"Boot";-0,0585243424899051;0,987446001715486;0,16274426460593
"279";"Post";-0,0632245762674913;0,982373751566368;0,191091239477043
"280";"Moy";-0,159818496165879;0,595504884372953;0,0694618747035731
"281";"Reg. Lin.";-0,0712419224718062;0,977908127228555;0,040911869212783
"282";"Reg. Lin. Sto.";-0,0752630179164321;0,972362335836275;0,128815717797389
"283";"EM";0,0471764914921085;0,92004920491028;0,236711445669286
"284";"Boot";0,136814763806068;0,905299224715588;0,299522184039172
"285";"Post";0,125351151702011;0,919127061331643;0,384419242528582
"286";"Moy";0,121056147137824;0,746465139672872;0,0741946074420636
"287";"Reg. Lin.";0,122807563366109;0,917342588488116;0,0584863822622357
"288";"Reg. Lin. Sto.";0,127246568668149;0,908806251919696;0,287637895173593
"289";"EM";0,0072963430745284;0,905363491010409;0,192556640103681
"290";"Boot";0,0048131500657086;0,878563016455406;0,262721264529732
"291";"Post";0,025030787842617;0,894485178896914;0,316120434989257
"292";"Moy";0,040481260193888;0,647447403196609;0,066756840429809
"293";"Reg. Lin.";0,0189590812656646;0,903919670594296;0,0531040628325306
"294";"Reg. Lin. Sto.";0,0204783234191503;0,903159310746146;0,231543681690156
"295";"EM";-0,0522991314927011;1,00310321426179;0,190751935232093
"296";"Boot";-0,10580795809219;0,998191613731399;0,242748729339832
"297";"Post";-0,150609842426637;1,01539461717594;0,311772705430194
"298";"Moy";-0,0631945540038483;0,576619507988714;0,0778116073136118
"299";"Reg. Lin.";-0,137112094635272;1,01359447924535;0,0522814452471741
"300";"Reg. Lin. Sto.";-0,138776966520539;1,00700681068262;0,221902159771863
"301";"EM";-0,0095707738126432;1,03410831705199;0,158322854752074
"302";"Boot";-0,0139950815318087;1,0214571354121;0,221857272019088
"303";"Post";-0,0173479057770072;1,03057731003523;0,266095888103255
"304";"Moy";0,0997435202062573;0,668322082886479;0,0753436362704132
